League,Team,Player,Country,Appearances,URL
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Mohamed Amine Meskini,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Mohamed_Amine_Meskini&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Raouf Benguit,Algeria,0,https://en.wikipedia.org/wiki/Raouf_Benguit
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Raed Fedaa,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Raed_Fedaa&action=edit&redlink=1
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Zied Berrima,Tunisia,0,https://en.wikipedia.org/wiki/Zied_Berrima
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Haythem Jouini,Tunisia,0,https://en.wikipedia.org/wiki/Haythem_Jouini
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Junior Lokosa,Nigeria,1,https://en.wikipedia.org/wiki/Junior_Lokosa
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Fedi Ben Choug,Tunisia,0,https://en.wikipedia.org/wiki/Fedi_Ben_Choug
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Anice Badri,Tunisia,Total,https://en.wikipedia.org/wiki/Anice_Badri
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Taha Yassine Khenissi,Tunisia,41,https://en.wikipedia.org/wiki/Taha_Yassine_Khenissi
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Abderrahmane Meziane,Algeria,0,https://en.wikipedia.org/wiki/Abderrahmane_Meziane
2019–20 Tunisian Ligue Professionnelle 1,2019–20 Espérance Sportive de Tunis season,Maher Ben Seghaier,Tunisia,0,https://en.wikipedia.org/w/index.php?title=Maher_Ben_Seghaier&action=edit&redlink=1
